Name,First Places,Second Places,Third Places,PolesPositions,WorldChampionships,Country,Score,NormalizedScore
Navarro Jorge,2,8.0,9.0,5.0,0.0,ES,40.5,0.050720100187852224
Bonera Gianfranco,2,7.0,6.0,1.0,0.0,IT,29.5,0.036944270507201005
Graham Stuart,2,7.0,5.0,0.0,0.0,GB,27.0,0.033813400125234816
Vazquez Efren,2,6.0,8.0,1.0,0.0,ES,29.5,0.036944270507201005
Ferrari Virginio,2,6.0,2.0,1.0,0.0,IT,23.5,0.029430181590482152
Dale Dickie,2,5.0,5.0,0.0,0.0,GB,23.0,0.028804007514088917
Bergamonti Angelo,2,5.0,3.0,0.0,0.0,IT,21.0,0.026299311208515967
Nakagami Takaaki,2,4.0,8.0,6.0,0.0,JP,33.0,0.041327489041953665
Herron Tom,2,4.0,8.0,3.0,0.0,IE,28.5,0.035691922354414526
Petrucci Danilo,2,4.0,4.0,0.0,0.0,IT,20.0,0.025046963055729492
Palazzese Ivan,2,4.0,3.0,1.0,0.0,VE,20.5,0.02567313713212273
Itoh Mitsuo,2,3.0,8.0,0.0,0.0,JP,22.0,0.027551659361302442
Migno Andrea,2,3.0,6.0,4.0,0.0,IT,26.0,0.03256105197244834
Pesek Lukas,2,3.0,4.0,3.0,0.0,CZ,22.5,0.028177833437695678
Doran William,2,3.0,3.0,0.0,0.0,GB,17.0,0.021289918597370068
Debon Alex,2,3.0,2.0,4.0,0.0,ES,22.0,0.027551659361302442
Wood Tommy,2,3.0,1.0,0.0,0.0,GB,15.0,0.01878522229179712
Ramirez Marcos,2,2.0,4.0,2.0,0.0,ES,19.0,0.023794614902943018
Saul Eric,2,2.0,4.0,1.0,0.0,FR,17.5,0.021916092673763307
Monneret Pierre,2,2.0,4.0,0.0,0.0,FR,16.0,0.020037570444583593
Vitali Maurizio,2,2.0,3.0,5.0,0.0,IT,22.5,0.028177833437695678
West Anthony,2,2.0,2.0,0.0,0.0,AU,14.0,0.017532874139010644
Rutter Tony,2,2.0,1.0,2.0,0.0,GB,16.0,0.020037570444583593
Tamada Makoto,2,1.0,2.0,3.0,0.0,JP,16.5,0.020663744520976832
Scalvini Gianluigi,2,1.0,2.0,2.0,0.0,IT,15.0,0.01878522229179712
Huberts Jan,2,1.0,2.0,0.0,0.0,NL,12.0,0.015028177833437696
Cañellas Salvador,2,1.0,2.0,0.0,0.0,ES,12.0,0.015028177833437696
Suzuki Tatsuki,2,1.0,1.0,6.0,0.0,JP,20.0,0.025046963055729492
Middelburg Jack,2,1.0,1.0,2.0,0.0,NL,14.0,0.017532874139010644
Masbou Alexis,2,1.0,1.0,1.0,0.0,FR,12.5,0.015654351909830933
Gandossi Alberto,2,1.0,1.0,0.0,0.0,IT,11.0,0.013775829680651221
Torrontegui Herri,2,0.0,4.0,0.0,0.0,ES,12.0,0.015028177833437696
Wheeler Arthur,2,0.0,2.0,0.0,0.0,GB,10.0,0.012523481527864746
Mccandless Cromie,2,0.0,1.0,0.0,0.0,IE,9.0,0.011271133375078271
Pawi Khairul Idham,2,0.0,0.0,0.0,0.0,0,8.0,0.010018785222291797
Kassner Helmut,2,0.0,0.0,0.0,0.0,DE,8.0,0.010018785222291797
Venturi Remo,1,14.0,7.0,0.0,0.0,IT,39.0,0.048841577958672514
Casanova Bruno,1,9.0,6.0,6.0,0.0,IT,37.0,0.046336881653099564
Molloy Ginger,1,9.0,3.0,0.0,0.0,NZ,25.0,0.031308703819661866
Williams Peter,1,8.0,2.0,1.0,0.0,GB,23.5,0.029430181590482152
Freymond Roland,1,6.0,3.0,0.0,0.0,CH,19.0,0.023794614902943018
Ferri Romolo,1,6.0,0.0,0.0,0.0,IT,16.0,0.020037570444583593
